graph_index,group,generation_method,n_routes,generated_n_routes,min_route_len,max_route_len,target_route_len,weight_combo_index,demand_time_weight,route_time_weight,median_connectivity_weight,run_name,cost,ATT,RTT,unserved_demand,n_nodes,covered_nodes,route_length_min,route_length_mean,route_length_max
628,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0628,3.3107852935791016,38.12801742553711,1572.116455078125,17.786319732666016,50,47,12,12.0,12
629,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0629,2.044329881668091,34.61180877685547,1405.2916259765625,27.01030731201172,50,43,12,12.0,12
630,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0630,2.518576145172119,22.25699234008789,742.0765991210938,24.922954559326172,50,44,12,12.0,12
631,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0631,2.942038059234619,35.88641357421875,1140.06396484375,22.481081008911133,50,46,12,12.0,12
632,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0632,1.6737679243087769,25.480051040649414,840.883056640625,19.352832794189453,50,45,12,12.0,12
633,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0633,1.5762455463409424,31.918987274169922,1161.73486328125,17.427125930786133,50,48,12,12.0,12
634,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0634,3.5466437339782715,45.21485900878906,1077.916259765625,38.434425354003906,50,39,12,12.0,12
635,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0635,1.4906959533691406,31.030364990234375,1083.6962890625,16.096372604370117,50,46,12,12.0,12
636,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0636,2.301992416381836,49.38359451293945,1290.84765625,19.925390243530273,50,45,12,12.0,12
637,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0637,3.236819267272949,38.58682632446289,1474.614013671875,15.928999900817871,50,47,12,12.0,12
638,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0638,2.3725831508636475,33.20004653930664,1167.0816650390625,32.936649322509766,50,41,12,12.0,12
